case_number,source,prompt,evaluation_seed,coco_id
10919,coco-30k,A train coming up to a railroad crossing.,22607,188918
10920,coco-30k,A man is on the corner on a city street.,50376,315696
10921,coco-30k,A worn out street sign is at an intersection.,39833,83477
10922,coco-30k,Emergency paramedic medical workers caring for an infant on a train station walkway. ,95750,235644
10923,coco-30k,A bus with no roof has lots of seats in back.,31296,132336
10924,coco-30k,this is a cat on a chair with a hat,406,287033
10925,coco-30k,a old bench and a small chair sitting beside it,43039,256403
10926,coco-30k,a man sitting on a green bench in a park,68868,446909
10927,coco-30k,a few animals that are in side a fence,16828,332901
10928,coco-30k,A group of people that are behind a bus.,89007,353180
10929,coco-30k,A city traffic light is red with a large billow of smoke in the background.,93794,306303
10930,coco-30k,A flock of sheep grazing in an open field.,16915,334542
10931,coco-30k,A street sign on the side of of a wooded area.,65250,226629
10932,coco-30k,This is a train on  the track with people ready to board,36517,459303
10933,coco-30k,two giraffes are standing together outside a barn,513,153299
10934,coco-30k,A giraffe in a dry savannah with dry shrubs,73334,275210
10935,coco-30k,Two giraffes are in a background of tall trees.,73986,294423
10936,coco-30k,A neon green walking sign has an arrow under it.,11497,56413
10937,coco-30k,A black and white train is in an underpass.,44308,403864
10938,coco-30k,A train that is sitting on tracks above water.,2777,482799
10939,coco-30k,A sign indicating Florida Avenue and another one stating the speed limit is 35.,98986,568863
10940,coco-30k,A small aircraft parked on a grass field,59926,321424
10941,coco-30k,"A yellow and red van that reads "" Foot Stinks "" on it's right passenger door.",1377,296825
10942,coco-30k,"A red stop sign hanging from a pole with "" Never "" and "" Loving "" painted on it.",8775,227134
10943,coco-30k,A blue rusted train engine sitting on top of rail tracks.,19654,519338
10944,coco-30k,"Lot of the building, behind the fence, full of garbage",43818,4093
10945,coco-30k,A yellow school bus driving past a traffic light.,71868,538255
10946,coco-30k,A flock of sheep grazing in a field of grass.,58454,200541
10947,coco-30k,A couple of little girls standing in front of a metal fence.,68317,459320
10948,coco-30k,A tall giraffe standing next to a bunch of trees.,21726,478406
10949,coco-30k,A train sitting next to a loading platform with people standing on it.,7249,49060
10950,coco-30k,A white and yellow train traveling through a rural country side.,78529,208648
10951,coco-30k,A large mirror reflecting a bus driving down a street.,85561,52527
10952,coco-30k,A herd of goats walking along a dirt road.,44583,239148
10953,coco-30k,THERE IS A BENCH IN FRONT OF TE LAKE ,70166,395575
10954,coco-30k,There are two cars on the road at this intersection.,365,139468
10955,coco-30k,Stop sign at the intersection of Adams and Idaho streets.,3476,398525
10956,coco-30k,A wooden park bench sitting in the middle of a forest.,99592,75076
10957,coco-30k,A couple of giraffe standing next to a forest.,13022,5418
10958,coco-30k,A bird standing next to a lot of tall grass.,84936,475223
10959,coco-30k,THERE IS A PERSON THAT IS SITTING IN THE BOAT ON THE WATER,69637,484551
10960,coco-30k,A laptop computer on a table in the passenger cabin of an airplane.,71060,227656
10961,coco-30k,A group of three parked buses in front of a tall building.,88568,409921
10962,coco-30k,a street a street light a traffic light and some trees,46792,287967
10963,coco-30k,a red and yellow bus is parked some people and cars on a street,40201,242270
10964,coco-30k,A young person playing a Nintendo ds while laying on a bed.,56849,167271
10965,coco-30k,A fire hydrant stands on a corner of a sidewalk.,90908,187495
10966,coco-30k,"Close up of a traffic light with three lights, the top illuminated red with a person image, the second down not illuminated, and the bottom on hanging down.",31062,227125
10967,coco-30k,A train that is sitting on the tracks.,56281,159260
10968,coco-30k,A picture that has a lady with a laptop.,35957,517967
10969,coco-30k,a black and white sign some trees fence and buildings,61205,576354
10970,coco-30k,Bus merging through traffic at a busy intersection.,13678,551018
10971,coco-30k,A giraffe walking in a sandy enclosure ,10596,404262
10972,coco-30k,Two bicycles that are parked on either side of a fire hydrant.,42464,284954
10973,coco-30k,a large field full of sheep out in the outdoors,4320,64116
10974,coco-30k,a baseball player swings his bat at a baseball ,41765,339245
10975,coco-30k,A passenger train that has some graffiti on it.,54899,530466
10976,coco-30k,A girl eating an apple and reading on a bench.,43693,91336
10977,coco-30k,A single giraffe standing in an open field.,55034,400336
10978,coco-30k,A couple of large giraffe in the tall grass.,72133,52155
10979,coco-30k,Two people are standing at a subway stop as a train goes by.,48427,188044
10980,coco-30k,a giraffe stares out of a glass window ,16964,442661
10981,coco-30k,a small girl in a pink top is laying on a couches arm,79136,226917
10982,coco-30k,Two giraffes that are standing together in a field.,59105,374486
10983,coco-30k,A three way sign is posted on an outdoor pole.,8105,88967
10984,coco-30k,A park bench on the side of a lake.,51063,5820
10985,coco-30k,A sidewalk going past many stores near a street.,78217,399865
10986,coco-30k,The Sun Valley Market on the corner of 10th Ave and Irving.,24544,115927
10987,coco-30k,a white bird some sand water rocks and grass,9565,460160
10988,coco-30k,A photo of a cat in black and white. The person taking the picture is visible in the mirror.,96050,326814
10989,coco-30k,"A double decker bus traveling down he street, past a Ferris wheel.",94990,315769
10990,coco-30k,A stop sign with an oriental symbol above the English version.,956,404229
10991,coco-30k,A blue bus driving down a city street.,75974,133819
10992,coco-30k,A flock of ducks floating on top of a lake.,48716,64030
10993,coco-30k,A baby giraffe standing next to an adult giraffe.,80175,401040
10994,coco-30k,An orange detour sign hanging from a metal pole under a cloudy sky.,56508,16903
10995,coco-30k,A red stop sign sitting next to a light pole.,83314,91619
10996,coco-30k,A couple of giraffe standing next to each other.,12195,498960
10997,coco-30k,A very tall old building sitting on the corner of a street.,31821,235919
10998,coco-30k,A red stop sign sitting on the side of a pole.,90099,457133
10999,coco-30k,A herd of animals walking across  a grass covered field.,70280,286920
11000,coco-30k,A crowd of people crossing a cross walk.,48613,371869
11001,coco-30k,A couple of birds standing on top of  a wooden bench.,29914,131207
11002,coco-30k,a few rows of benches and a few people sitting on them,60352,310524
11003,coco-30k,A no parking sign sitting on a sidewalk in front of a building.,78403,382640
11004,coco-30k,A city street at night filled with lots of traffic.,3357,185210
11005,coco-30k,An orange and white giraffe standing next to a wall.,37121,257910
11006,coco-30k,A fire station with a flag pole in front of it.,63236,338826
11007,coco-30k,A white and blue bus sitting on the side of tall buildings.,83297,497664
11008,coco-30k,A city street with traffic lights flooded by water.,33715,487299
11009,coco-30k,A traffic light hanging over a road at a cross walk.,33146,307074
11010,coco-30k,a pic with a hydrant outside in the field,23460,224238
11011,coco-30k,a very big bus moving on the street with no people,27545,523195
11012,coco-30k,The orange fire hydrant is beside an old shack.,56043,79846
11013,coco-30k,A blue and yellow fire hydrant sitting on the side of a road.,93605,451014
11014,coco-30k,A tow truck driving past a very old stop sign.,57621,110369
11015,coco-30k,A giraffe standing next to a wooden pole near a forest.,56094,570088
11016,coco-30k,A giraffe standing next to a stone wall.,34677,384848
11017,coco-30k,a man standing next to a red train near a train track ,82886,426175
11018,coco-30k,cars parked near a all black corner store,49725,412676
11019,coco-30k,A large flock of birds flying over the ocean.,37321,440036
11020,coco-30k,A trolley stopping at the curb to pick up two passengers.,16474,54485
11021,coco-30k,A bus riding pass a tower with a crane attached to it. ,54326,467092
11022,coco-30k,A bird is perched on the twig of a tree. ,86449,300155
11023,coco-30k,One bear and two cubs in the grass while birds fly behind them.,34938,85926
11024,coco-30k,A pole with a sign explaining the traffic signs. ,82735,51887
11025,coco-30k,a street light that is covered in dirt and rust,74445,83331
11026,coco-30k,A red train traveling through a rural countryside.,61365,50496
11027,coco-30k,A young man sitting on top of a metal and wood bench.,77718,72155
11028,coco-30k,Pair of giraffes standing next to a wooden pole barrier fence. ,83276,328504
11029,coco-30k,An intersection on the strip in Las Vegas.,93367,505967
11030,coco-30k,A person walking down a sidewalk at night.,12666,360624
11031,coco-30k,A red bus in a city scene with traffic.,82356,531286
11032,coco-30k,a big giraffe walks next to some zebras ,56990,423723
11033,coco-30k,A bird perched on top of a tree branch.,96791,337139
11034,coco-30k,a narrow alley with signs and buildings down it,52876,527962
11035,coco-30k,A close up of a peacock who is behind an enclosure. ,41673,467593
11036,coco-30k,a man wearing a top hat and a red tie ,62616,483667
11037,coco-30k,A blue helicopter flying upside down in the sky.,54179,450774
11038,coco-30k,Two young boys on horses wearing pith helmets. ,76840,196355
11039,coco-30k,"A bird stands on a rock, gazing out over the water.",45215,323847
11040,coco-30k,A person drives a bus on a busy road. ,76522,36077
11041,coco-30k,A red fire hydrant on the side of a street.,31346,290002
11042,coco-30k,A large group of tall giraffe in a room.,22807,207913
11043,coco-30k,People are walking in front of a line of parked buses.,34282,25134
11044,coco-30k,a black and white photo of a person holding a sign,59218,278749
11045,coco-30k,A bus and a tram pass each other on a city street,86280,113001
11046,coco-30k,Bus traveling down road with headlights on past cars parked on street,8956,207491
11047,coco-30k,"A boat, two seagulls, and a light house.",72433,539557
11048,coco-30k,School buses parked along the curb of a city street.,24906,234965
11049,coco-30k,There is a stop sign covered in snow.,88885,350214
11050,coco-30k,The giraffes wander around their cage and eat from the trough on a wall.,85830,389721
11051,coco-30k,A fire hydrant that is in the grass.,54601,248163
11052,coco-30k,A red stop sign and a person on a street.,47397,328785
11053,coco-30k,Three giraffes that are standing in the grass.,14257,10211
11054,coco-30k,a child sitting on the ground with a flower,67788,25990
11055,coco-30k,A large long train on a steel track near a barn.,51047,320627
11056,coco-30k,A large truck on the side of a street.,2103,44075
11057,coco-30k,"A bench overlooks a lush, green valley below.",95100,25430
11058,coco-30k,A picnic table on a porch overlooking a body of water.,5357,39399
11059,coco-30k,A small bird perched on some metal bar ,3261,152737
11060,coco-30k,A large blue bird standing on top of a rock.,391,498942
11061,coco-30k,A white and blue bird is perched on a tree branch that is sitting next to a bunch of bushes.,59030,551861
11062,coco-30k,a steam locomotive on a narrow gauge track in the snow,63831,431523
11063,coco-30k,a bus and a car on a city street,70862,243867
11064,coco-30k,A silver train that is sitting on a track.,64403,346083
11065,coco-30k,A man walks across a street with a stop sign in the foreground.,76766,418092
11066,coco-30k,Giraffes sitting in a dry grassy field during the day,95701,580693
11067,coco-30k,A park bench sits by a tree underneath a red flowered tree.,18783,574392
11068,coco-30k,A city passenger bus stopping to take on passengers.,93739,210394
11069,coco-30k,a steam locomotive on a narrow gauge track,69517,453029
11070,coco-30k,A woman with a red backpack is on a bus.,8379,545594
11071,coco-30k,A street sign is at an intersection by tracks.,55514,287099
11072,coco-30k,a flock of geese are walking in a parking lot,86948,554828
11073,coco-30k,a small horse is attached to a cart on the side of a road,3046,384513
11074,coco-30k,A stone statue of an elderly woman sits upon a wooden bench.,86332,170960
11075,coco-30k,A bunch of goats are eating out of a box,25557,571944
11076,coco-30k,a dog in a Santa hat on a pillow,41964,261824
11077,coco-30k,The dog is outside barking at the sheep.,53831,467978
11078,coco-30k,The people are eating outside of the restaurant.,35490,568883
11079,coco-30k,A large blue bus parked by a tree.,99935,24566
11080,coco-30k,A woman hosing down a passenger railway car.,10811,381991
11081,coco-30k,a directory next to some snow covered benches,31625,374241
11082,coco-30k,Cars and a bus driving down a busy road.,79896,347768
11083,coco-30k,A fire hydrant on the street by a building.,60366,35012
11084,coco-30k,The truck is traveling down the rural road.,42430,435187
11085,coco-30k,People walking by a building with a unique drainpipe.,96106,252559
11086,coco-30k,A group of giraffe walking across a dirt field.,10856,67455
11087,coco-30k,An old train next to some empty train tracks.,3908,483803
11088,coco-30k,A large long bus on a city street.,6522,56302
11089,coco-30k,A water bird stands on the shore as the tide comes in.,50080,101280
11090,coco-30k,A red bus traveling down the road while people walk by,71206,256906
11091,coco-30k,A cake made to look like a baseball hat.,26321,308120
11092,coco-30k,A few llamas in a fence with fog over them.,76311,350262
11093,coco-30k,a large bus with two levels is parked outside,4997,380868
11094,coco-30k,Two people sitting on a bench while a dog looks at them.,30917,307332
11095,coco-30k,a traffic light on the same pole as a street light ,90038,43486
11096,coco-30k,all the vehicles in this town are red,65879,347453
11097,coco-30k,A couple of people walking down a sidewalk with stars.,49750,169166
11098,coco-30k,a number of birds on a beach near the water ,51865,46847
11099,coco-30k,A set of three park benches sitting next to a park.,25289,423172
11100,coco-30k,A couple of kids with some food on a couch.,53733,368565
11101,coco-30k,A person standing on a loading platform next to a  train.,5297,283642
11102,coco-30k,A traffic light and a large train on a track.,92050,325666
11103,coco-30k,A couple of small birds sitting on a metal rail.,89210,312544
11104,coco-30k,A couple of signs and vehicles on a road.,68827,463647
11105,coco-30k,A busy city street with many different vehicles.,58034,262505
11106,coco-30k,a statue of a woman is on a bench,30512,456127
11107,coco-30k,A row of wooden benches sitting under a covering.,75210,22660
11108,coco-30k,A couple of people sleeping on top of a bench.,72870,217009
11109,coco-30k,A mother sheep standing next to a  group of baby sheep.,71419,520812
11110,coco-30k,a white and yellow bus and its driver,30579,299442
11111,coco-30k,A very long red bus driving across a parking lot.,86457,302964
11112,coco-30k,a black seated on a hydrant on the street,31288,246612
11113,coco-30k,some fake birds are standing on top of a clock,50554,567383
11114,coco-30k,A wet road in a rural neighborhood. ,72687,356169
11115,coco-30k,A train traveling under a bridge next to other tracks.,86020,237758
11116,coco-30k,A herd of animals grazing on top of a grass field.,86150,419201
11117,coco-30k,A couple of giraffe standing next to each other.,31184,267088
11118,coco-30k,A snow covered sign sitting below a very tall building.,53662,349579
11119,coco-30k,An orange bus parked next to a building.,22965,539975
11120,coco-30k,A black and yellow train traveling down tracks.,2107,208524
11121,coco-30k,A man standing on the side of a commuter train.,55286,12947
11122,coco-30k,A silver train sitting on top of train tracks.,6052,242566
11123,coco-30k,A red fire hydrant sitting on the side of a road.,9907,198943
11124,coco-30k,A traffic light hanging over a street next to tall buildings.,56272,362159
11125,coco-30k,A wooden bench sitting outside of a home.,50445,351589
11126,coco-30k,Two birds standing side by side on a branch,2712,101304
11127,coco-30k,A small train with writing all over it passes through an intersection.,78122,242734
11128,coco-30k,Some very cute giraffes in a big grass field.,20703,134119
11129,coco-30k,a person holding a clear piece of glass or plastic,655,503980
11130,coco-30k,a number of birds flying near a nest ,84687,152388
11131,coco-30k,a person next to a girafe statue on a city street,64001,246876
11132,coco-30k,"An old, rickety wooden  bench near the woods.",89541,154607
11133,coco-30k,A train that is on a rail over a bridge.,18135,108440
11134,coco-30k,a close up of a person hugging the head of a giraffe ,21653,470714
11135,coco-30k,A bunch of giraffes that are standing in the dirt.,34237,156974
11136,coco-30k,A traffic sign with writing on it at an intersection. ,81650,441854
11137,coco-30k,An old fashioned picture of three boys dressed up.,62122,267690
11138,coco-30k,a street sign attached to a wooden pole,56011,192716
11139,coco-30k,A train traveling down tracks near a rural area.,82430,267628
11140,coco-30k,A yellow fire hydrant sitting in the middle of a sidewalk.,20111,339469
11141,coco-30k,Sheep out grazing in green grass on a farm ,39989,370266
11142,coco-30k,A bird that is sitting on a branch.,33869,209685
11143,coco-30k,A street with a graffiti post on the corner. ,49525,533311
11144,coco-30k,a train near a platform and people walking,41478,28646
11145,coco-30k,The signs are clearly visible for all of us to see.,15830,437738
11146,coco-30k,The young girl is standing by the fire hydrant in curlers.,65036,176466
11147,coco-30k,A white fire hydrant sitting next to news paper dispensers at night.,48745,514249
11148,coco-30k,A metal pole with a bunch of street signs hanging from the side of it.,52880,70125
11149,coco-30k,An electric  tower in front of buildings on the road.,10221,6789
11150,coco-30k,A bird is perched on a large rock near the shore.,43016,55299
11151,coco-30k,A tall white and red light house sitting on a green hill.,66903,333504
11152,coco-30k,A large bird sits at the top of a tree. ,98801,209062
11153,coco-30k,A train driving over a small bridge on a green hillside.,19850,579818
11154,coco-30k,Some very cute big birds by the water.,58504,223554
11155,coco-30k,A blue and pink fire hydrant spewing out water onto a street.,67589,522015
11156,coco-30k,A tall building towering over a red fire hydrant.,23364,133827
11157,coco-30k,A man wearing a hat and a gray jacket.,33461,131444
11158,coco-30k, A bench sitting on to of a field of tall grass near water.,40002,271457
11159,coco-30k,A night time image of a very wide and crowded city street.,77734,194598
11160,coco-30k,A city street at night with a green signal.,40334,72050
11161,coco-30k,A very tall giraffe walks through the trees.,6980,398580
11162,coco-30k,Person with arm wrapped around street sign standing on sidewalk.,10059,286124
11163,coco-30k,We are looking a train in the distance.,31740,27226
11164,coco-30k,A couple of long horn sheep standing next to trees.,30752,196248
11165,coco-30k,A group of people standing outside of a bus.,75002,278848
11166,coco-30k,A wooden bench with snow in a  forest.,15203,56624
11167,coco-30k,A bus on driving down a street with other buses ,72357,111619
11168,coco-30k,a couple of birds are perched on some branches,67569,419854
11169,coco-30k,a bunch of street signs on a pole outside,66411,359276
11170,coco-30k,A man walking down a road in front of a double decker bus.,88688,423484
11171,coco-30k,A bird perched on top of a leaf filled tree.,58158,512337
11172,coco-30k,A man petting a giraffe whose face it over the fence ,70916,511654
11173,coco-30k,A giraffe in the wild all alone ,64701,496554
11174,coco-30k,A dog sits on grass next to a fire hydrant while a person holds a leash and a bag filled with dog poop,18058,198935
11175,coco-30k,a bench  sitting by a wall and surrounded by purple flowers ,21469,254001
11176,coco-30k,A hard to miss street sign set between two traffic lights.,28817,385535
11177,coco-30k,a green light over a street at an intersection,24546,260048
11178,coco-30k,a  man shearing the wool off a sheep ,94009,259513
11179,coco-30k,A giraffe and two zebras walking in tall grass.,72261,277932
11180,coco-30k,The orange peal is on the wooden bench ,18478,427782
11181,coco-30k,Four giraffes standing behind a short wall with trees behind them. ,95665,500495
11182,coco-30k,a person standing next to a stop sign on a tree,9453,245174
11183,coco-30k,a green train is coming down the tracks,32647,923
11184,coco-30k,The giraffe has it's head against the tree trunk.,38621,103307
11185,coco-30k,a train carrying some heavy equipment resting on the tracks,20263,337667
11186,coco-30k,The giraffe is sitting in the middle of the grass alone,98258,27433
11187,coco-30k,A group of giraffes standing up in their natural habitat.,74521,225738
11188,coco-30k,There is a lot of graffiti on the train cart,94248,9497
11189,coco-30k,a couple of ssigns on a pole by a building,70127,142000
11190,coco-30k,a bunch of sheep are standing in a snowy field,63707,387223
11191,coco-30k,A bright street at night with several cars passing by.,88964,283277
11192,coco-30k,Benches on a paved deck overlooking a waterway,97351,78032
11193,coco-30k,Post with numerous traffic signs in large city setting.,82295,368727
11194,coco-30k,A bird sitting inside of a green bush outside,95423,489046
11195,coco-30k,A train with many cars is rolling on the tracks. ,40085,186950
11196,coco-30k,A woman kneels taking a picture of a large ram.,35037,530731
11197,coco-30k,A group of people on a city street.,54652,410446
11198,coco-30k,A phone that is laying next to a stocking cap.,24269,431199
11199,coco-30k,The car lights are streaking by on the street.,53941,400367
11200,coco-30k,A geisha girl entering a hotel bus at the airport,29377,306716
11201,coco-30k,A couple of giraffe standing by a tree in the grass.,88768,296404
11202,coco-30k,a couple of large planes are flying through the air,8928,359303
11203,coco-30k,There is a group of small birds standing on the chairs.,11257,292616
11204,coco-30k,A train riding on a track near a forest and traffic signs.,92825,6226
11205,coco-30k,A small airplane flying over a field over crops.,94001,145383
11206,coco-30k,Cows walking down a street near a tour bus. ,27426,416385
11207,coco-30k,A yellow school bus parked  near a tree.,25074,148319
11208,coco-30k,a black and yellow trains engine pulling its cars,72472,47588
11209,coco-30k,A yellow and red fire hydrant sitting next to a tree.,3614,178810
11210,coco-30k,An orange truck driving down a street full of men in the back.,55398,259571
11211,coco-30k,A train sitting inside of a train station near a loading platform.,64522,537589
11212,coco-30k,"A number of young people are enjoying themselves around a fountain, not far from a fire hydrant.",57298,373705
11213,coco-30k,A bird sitting on top of a log in a lake.,56160,210208
11214,coco-30k,A giraffe walking across a dirt and grass field.,95168,387562
11215,coco-30k,A post box is standing along the sidewalk.,63449,506568
11216,coco-30k,A traffic light hanging from the side of a wooden pole.,93566,151558
11217,coco-30k,Red car on roadway in large city area.,43801,170190
11218,coco-30k,A giraffe that is standing near a tree.,92064,373375
11219,coco-30k,a green bus is driving down the street,50818,168714
11220,coco-30k,The bus is going through the traffic light.,84357,118710
11221,coco-30k,A white bus driving past a tall building.,27145,106048
11222,coco-30k,A giraffe  standing on top of a dirt and grass field.,46507,289659
11223,coco-30k,a giraffe reaching up to eat some grass from a cage ,96017,304556
11224,coco-30k,some lightening is striking off in the distance,94422,80462
11225,coco-30k,a yellow and white fire hydrant near a building,57119,118956
11226,coco-30k,a couple of birds are standing on a branch,13059,324818
11227,coco-30k,a yellow and black fire hydrant on the sidewalk,27577,293474
11228,coco-30k,An ugly looking street sign sitting on the corner of a street.,75150,260595
11229,coco-30k,One giraffe sitting on the grass and another giraffe standing up. ,40715,407198
11230,coco-30k,A green and white bus driving down a  city street.,42897,481550
11231,coco-30k,a small group of people that are in front of a bus,26068,571384
11232,coco-30k,A bird standing on top of a beach next to water.,71373,58492
11233,coco-30k,A water hydrant on the side of the road .,8718,358345
11234,coco-30k,Two trucks are parked in front of a house.,39339,198590
11235,coco-30k,A train sitting under a display inside a building.,89641,37678
11236,coco-30k,A yellow and black bird perched on top of a wooden branch.,91061,346067
11237,coco-30k,A bus driving down the road near a church and traffic light.,95086,40620
11238,coco-30k,The freight train is speeding through the crossing.,2141,289870
11239,coco-30k,A sign siting next to a parking meter near a parked car.,13096,95520
11240,coco-30k,A road line with blue fire hydrants next to a sign.,21825,379070
11241,coco-30k,A yellow fire hydrant sitting on the side of a road.,82115,25809
11242,coco-30k,A young girl holding a backpack while walking across a field.,16431,256055
11243,coco-30k,some fog traffic lights street lights and buildings,88195,538879
11244,coco-30k,A group of people riding on a cart traveling down a street.,22726,429710
11245,coco-30k,A humming bird flying next to a red bird feeder.,7999,255974
11246,coco-30k,A row of wooden benches sitting on the side of a road.,3867,153527
11247,coco-30k,A pair of shoes hanging over a street sign.,3671,573113
11248,coco-30k,A wooden park bench sitting in the  middle of a park.,64671,145284
11249,coco-30k,A giraffe standing next to a horse in a field.,71671,479203
11250,coco-30k,A white and red bus driving down a street.,52918,292663
11251,coco-30k,A metal pole with street signs attached to it's sides.,62948,166260
11252,coco-30k,A lush green field with animals grazing on top of it under a snow covered mountain range.,91561,521804
11253,coco-30k,A man sitting in front of a laptop computer in an office.,88881,13659
11254,coco-30k,A man walking a down down a sidewalk.,50311,48014
11255,coco-30k,A couple of boats floating on top of a body of water.,88523,175469
11256,coco-30k,A woman holding an umbrella over another man.,25251,252940
11257,coco-30k,A baseball player holding a bat while standing on a field.,18824,101068
11258,coco-30k,A man wearing a camouflage hat while eating cake.,51297,499705
11259,coco-30k,Orange streetcar stopped at a pick up point along a line.,71100,203110
11260,coco-30k,A small house with a wooden door and a wooden balcony.,11928,436138
11261,coco-30k,A crowd of people standing outside of a parked bus.,89820,370602
11262,coco-30k,A blue bus driving down a curvy street.,52043,327070
11263,coco-30k,The sky is cloudy over a stop sign.,57220,2822
11264,coco-30k,Giraffe holding it's head mid way with a wooden gate behind it.,25648,382211
11265,coco-30k,A wooden park bench overlooking a valley full of trees.,3496,282808
11266,coco-30k,A person driving a car towards an overpass.,969,368663
11267,coco-30k,A blue bus parked in front of a building.,28647,244344
11268,coco-30k,A small yellow airplane is on a grassy runway.,42771,371973
11269,coco-30k,A bus driving down a street next to tall buildings.,41698,445606
11270,coco-30k,A bench sitting in a park next to a tree.,44798,383026
11271,coco-30k,A couple of jetliner sitting on top of an airport runway.,37907,411630
11272,coco-30k,a few people that are inside a fence,9936,564088
11273,coco-30k,A blue double decker bus driving down a street.,13678,55768
11274,coco-30k,Some very pretty giraffes in a big grassy field.,21303,547783
11275,coco-30k,A green bus with a smaller bus sitting on top of it.,35439,128051
11276,coco-30k,a busy street with people a red double decked bus and a clock tower,5957,101703
11277,coco-30k,Awoman is standing beside a stop sign in a museum.,21694,463325
11278,coco-30k,A woman in red sweater with dog and sheep in grassy field.,82528,297669
11279,coco-30k,"Trains on a track, one with freight boxes.  ",1208,536168
11280,coco-30k,A beautiful woman in a black skirt getting off a train.,3900,456638
11281,coco-30k,Upward closeup of crossed street signs in a winter setting.,96226,140974
11282,coco-30k,A fire hydrant in the grass near the curb with the remnants of melting snow,53133,359843
11283,coco-30k,A paper sitting on top of a white plate near a small bird.,10968,409088
11284,coco-30k,A square reflective glass building sitting next to a street light.,72532,109441
11285,coco-30k,A herd of sheep crossing a bridge over a river.,74690,489382
11286,coco-30k,a stop sign and a bus stop sign,37045,301262
11287,coco-30k,A man laying on top of a bed inside of a train room.,62919,258141
11288,coco-30k,a bus that is driving down the road,50250,58123
11289,coco-30k,A herd of white sheep standing on top of a green field.,84736,391825
11290,coco-30k,a giraffe with a man sitting in front of the girraffe,26090,130619
11291,coco-30k,A train traveling down a train track next to a big tree,93652,242852
11292,coco-30k,A large jetliner sitting on top of an airport runway.,67222,263346
11293,coco-30k,A train traveling down tracks next to a train station.,96570,97080
11294,coco-30k,A dog is sticking it head outside of a car window ,72991,76417
11295,coco-30k,A bus traveling past a traffic light next to a tree.,45159,107840
11296,coco-30k,A group of men standing behind a man in a wheel chair.,44764,269172
11297,coco-30k,A man wearing glasses with a bird over his right shoulder.,46289,67969
11298,coco-30k,A green train traveling down train tracks next to another train.,79156,232954
11299,coco-30k,We are looking at a model train coming down the track.,33344,32673
11300,coco-30k,A red train parked in front of a loading platform next to passengers.,48303,564129
11301,coco-30k,A cat laying on the ground next to a woman's shoes.,44680,223413
11302,coco-30k,A large crane lifting up a school bus on  a parking lot.,9757,491881
11303,coco-30k,A picture of many brick building and a large sign outside.,72831,331600
11304,coco-30k,Their are cars under an over pass at a red light,84327,31339
11305,coco-30k,A bend sitting in a park along a dirt road.,99043,164583
11306,coco-30k,A white and blue bus driving past houses on a city street.,61499,127751
11307,coco-30k,A sheet cake with a farm scene on top of it.,75220,416960
11308,coco-30k,A train with open doors waiting on passengers at a train station.,35449,426611
11309,coco-30k,A group of four birds sitting on top of a tree branch below a clock tower.,69334,482526
11310,coco-30k,A young boy riding skis on top of a snow covered slope.,11500,384995
11311,coco-30k,A giraffe standing next to some trees in a field.,17963,402027
11312,coco-30k,A long yellow and red train traveling down tracks.,72375,140686
11313,coco-30k,A green and blue bus stopped to discharge passengers.,5118,480075
11314,coco-30k,a couple of buildings grouped together next to some power lines ,41200,45075
11315,coco-30k,a couple of yellow poles are on the street,79718,28993
11316,coco-30k,"A bird sitting in a tree, in the middle of a clear day.",31886,306421
11317,coco-30k,A herd of sheep standing on top of snow covered field.,94491,290570
11318,coco-30k,Old rusted transit train cars sit on the tracks. ,92854,364587
11319,coco-30k,a small brown and white bird sitting on a branch,36969,175774
11320,coco-30k,some cats laying on a dock with their chins laying over the end ,77266,112770
11321,coco-30k,A man sitting on top of a bench next to a bird.,74793,413839
11322,coco-30k,A cat stalks a bird perched on the side of a brick building.,28022,434035
11323,coco-30k,"A banner in a metropolitan area reading ""spring in the city"".",11385,169169
11324,coco-30k,An orange cat laying on top of a wooden table.,98783,29370
11325,coco-30k,A sign near a wooden fence and a tree.,81232,428399
11326,coco-30k,a large bus is up by the side of a curb,8385,393647
11327,coco-30k,a wooden bench with some yellow and green leaves ,86690,151005
11328,coco-30k,Two tall giraffes eating while in a zoo.,1926,442143
11329,coco-30k,"A bus traveling down the street, with Walton-Le-Dale written on it.",59588,343325
11330,coco-30k,a school advertising on its store front window,88554,406217
11331,coco-30k,The train rides down the tracks near a huge building in the city.,31544,211046
11332,coco-30k,Three large turkies are walking through the dirt.,10971,343606
11333,coco-30k,two men in in a white raft and a ship behind them,4732,308678
11334,coco-30k,A large herd of sheep sit huddled together.,14629,298627
11335,coco-30k,a couple of giraffes are standing in a pin,54834,577524
11336,coco-30k,A close up of two street sings above the back of a stop sign.,86624,12016
11337,coco-30k,some people and some white sheep in their pens ,38719,395388
11338,coco-30k,A rooster is walking on a grassy beach.,50943,221017
11339,coco-30k,Some people are riding in a coach on a sunny day.,50097,491282
11340,coco-30k,"A city with buildings, streets, and cars going down the road. ",26787,437303
11341,coco-30k,A red train sits in the station while a worker passes.,86489,461802
11342,coco-30k,a pink hat and a cellphone on some weaved basket,98527,340637
11343,coco-30k,A street sign that has been modified so the name is changed.,85351,44003
11344,coco-30k,Close up from behind of a young giraffe standing with front legs splayed and head the ground by a fence outside.,38607,98248
11345,coco-30k,A fisherman stands on the cold beach fishing.,68679,319830
